date,time,sensor,message
2025-09-02,14:11:06.859,M11,ON
2025-09-02,14:11:06.859,M14,ON
2025-09-02,14:11:07.360,M11,OFF
2025-09-02,14:11:07.360,M14,OFF
2025-09-02,14:11:07.360,M01,ON
2025-09-02,14:11:07.360,D01,OPEN
2025-09-02,14:11:07.661,A01,PHONE_PICKUP
2025-09-02,14:11:08.662,A01,PHONE_HANGUP
2025-09-02,14:11:08.862,M01,OFF
2025-09-02,14:11:08.863,M13,ON
2025-09-02,14:11:08.863,D07,OPEN
2025-09-02,14:11:09.163,I06,PRESENT
2025-09-02,14:11:09.164,I08,PRESENT
2025-09-02,14:11:10.664,I06,ABSENT
2025-09-02,14:11:10.665,I08,ABSENT
2025-09-02,14:11:10.866,M13,OFF
2025-09-02,14:11:10.866,M01,ON
2025-09-02,14:11:10.866,D01,OPEN
2025-09-02,14:11:11.168,M01,OFF
