2025-10-17 16:02:09.750 I002 Stove OFF
2025-10-17 16:03:57.781 I004 KitchenSink ON
2025-10-17 16:03:41.315 I005 BathroomSink1 ON
2025-10-17 16:06:24.477 I003 DiningTable OFF
2025-10-17 16:09:44.220 I004 KitchenSink ON
2025-10-17 16:12:09.425 I005 BathroomSink1 ON
2025-10-17 16:11:53.888 I004 KitchenSink OFF
2025-10-17 16:14:15.879 I006 BathroomSink2 ON
2025-10-17 16:14:08.872 I003 DiningTable OFF
2025-10-17 16:17:53.750 I003 DiningTable ON
2025-10-17 16:11:52.454 I001 Phone OFF
2025-10-17 16:20:29.135 I005 BathroomSink1 ON
2025-10-17 16:23:25.664 I001 Phone OFF
2025-10-17 16:17:17.492 I004 KitchenSink ON
2025-10-17 16:11:03.602 I004 KitchenSink OFF
2025-10-17 16:18:09.222 I001 Phone ON
2025-10-17 16:26:42.914 I005 BathroomSink1 ON
2025-10-17 16:23:59.896 I004 KitchenSink OFF
2025-10-17 16:13:16.800 I003 DiningTable ON
