2025-10-17 22:25:13.987 I006 BathroomSink2 ON
2025-10-17 22:27:07.353 I005 BathroomSink1 ON
2025-10-17 22:28:37.421 I002 Stove OFF
2025-10-17 22:27:23.399 I005 BathroomSink1 OFF
2025-10-17 22:28:26.351 I002 Stove ON
2025-10-17 22:34:39.940 I005 BathroomSink1 OFF
2025-10-17 22:29:19.134 I004 KitchenSink OFF
2025-10-17 22:38:42.542 I001 Phone OFF
2025-10-17 22:30:24.224 I005 BathroomSink1 OFF
2025-10-17 22:31:49.107 I002 Stove ON
2025-10-17 22:38:15.041 I002 Stove OFF
2025-10-17 22:40:18.605 I005 BathroomSink1 ON
2025-10-17 22:47:17.502 I005 BathroomSink1 ON
2025-10-17 22:45:47.207 I005 BathroomSink1 ON
2025-10-17 22:43:19.569 I003 DiningTable OFF
2025-10-17 22:52:09.909 I004 KitchenSink OFF
2025-10-17 22:46:03.304 I001 Phone ON
2025-10-17 22:51:28.539 I005 BathroomSink1 OFF
2025-10-17 22:54:51.011 I004 KitchenSink ON
2025-10-17 22:47:31.745 I001 Phone OFF
2025-10-17 23:02:25.093 I001 Phone OFF
