2025-10-18 06:35:19.254 I003 DiningTable ON
2025-10-18 06:37:04.148 I006 BathroomSink2 ON
2025-10-18 06:37:20.705 I002 Stove ON
2025-10-18 06:37:53.247 I004 KitchenSink ON
2025-10-18 06:40:15.510 I006 BathroomSink2 ON
2025-10-18 06:41:58.544 I001 Phone ON
2025-10-18 06:41:32.706 I006 BathroomSink2 OFF
2025-10-18 06:42:54.854 I004 KitchenSink OFF
2025-10-18 06:47:34.383 I002 Stove OFF
2025-10-18 06:42:20.980 I001 Phone OFF
2025-10-18 06:49:28.798 I001 Phone ON
2025-10-18 06:42:53.717 I002 Stove OFF
2025-10-18 06:49:43.760 I001 Phone OFF
2025-10-18 06:58:16.473 I006 BathroomSink2 OFF
2025-10-18 07:02:47.683 I006 BathroomSink2 ON
2025-10-18 06:51:57.207 I002 Stove ON
2025-10-18 06:51:43.744 I001 Phone OFF
2025-10-18 06:52:12.487 I006 BathroomSink2 OFF
2025-10-18 07:05:07.864 I001 Phone OFF
