2025-10-17 20:14:01.730 I004 KitchenSink ON
2025-10-17 20:15:32.131 I001 Phone ON
2025-10-17 20:17:01.588 I005 BathroomSink1 ON
2025-10-17 20:17:35.939 I001 Phone ON
2025-10-17 20:21:22.570 I001 Phone ON
2025-10-17 20:17:43.959 I003 DiningTable ON
2025-10-17 20:24:35.909 I006 BathroomSink2 ON
2025-10-17 20:21:43.468 I005 BathroomSink1 ON
2025-10-17 20:19:32.990 I006 BathroomSink2 OFF
2025-10-17 20:21:51.857 I002 Stove ON
2025-10-17 20:24:13.411 I003 DiningTable ON
2025-10-17 20:27:44.138 I006 BathroomSink2 ON
2025-10-17 20:34:47.627 I001 Phone ON
2025-10-17 20:27:44.122 I003 DiningTable ON
2025-10-17 20:42:00.844 I006 BathroomSink2 ON
2025-10-17 20:28:32.889 I005 BathroomSink1 OFF
2025-10-17 20:28:40.347 I003 DiningTable OFF
2025-10-17 20:45:15.761 I006 BathroomSink2 ON
2025-10-17 20:30:21.150 I006 BathroomSink2 ON
2025-10-17 20:36:48.408 I003 DiningTable OFF
2025-10-17 20:44:26.920 I002 Stove ON
2025-10-17 20:34:13.353 I002 Stove OFF
2025-10-17 20:57:50.449 I003 DiningTable ON
2025-10-17 20:52:25.785 I002 Stove OFF
2025-10-17 20:32:06.881 I001 Phone OFF
2025-10-17 20:36:04.506 I002 Stove OFF
2025-10-17 20:54:37.250 I006 BathroomSink2 ON
2025-10-17 20:42:57.944 I002 Stove ON
