2025-10-18 02:22:51.347 I005 BathroomSink1 OFF
2025-10-18 02:24:10.203 I001 Phone OFF
2025-10-18 02:24:00.761 I004 KitchenSink OFF
2025-10-18 02:27:44.913 I004 KitchenSink OFF
2025-10-18 02:28:15.926 I006 BathroomSink2 ON
2025-10-18 02:29:56.182 I006 BathroomSink2 ON
2025-10-18 02:28:36.904 I002 Stove OFF
2025-10-18 02:32:54.870 I001 Phone OFF
2025-10-18 02:38:02.046 I003 DiningTable ON
2025-10-18 02:40:32.750 I006 BathroomSink2 ON
2025-10-18 02:41:10.557 I002 Stove OFF
2025-10-18 02:37:21.850 I004 KitchenSink ON
2025-10-18 02:43:51.505 I006 BathroomSink2 OFF
2025-10-18 02:34:39.887 I002 Stove OFF
2025-10-18 02:44:27.731 I006 BathroomSink2 ON
2025-10-18 02:42:39.974 I003 DiningTable OFF
2025-10-18 02:41:52.504 I004 KitchenSink OFF
2025-10-18 02:56:20.663 I001 Phone OFF
2025-10-18 02:43:00.531 I003 DiningTable ON
2025-10-18 02:33:59.089 I003 DiningTable OFF
2025-10-18 02:50:56.750 I001 Phone OFF
