2025-10-18 02:41:18.821 I002 Stove ON
2025-10-18 02:41:50.761 I004 KitchenSink OFF
2025-10-18 02:43:52.750 I003 DiningTable ON
2025-10-18 02:46:21.012 I006 BathroomSink2 OFF
2025-10-18 02:43:26.117 I006 BathroomSink2 ON
2025-10-18 02:47:40.223 I005 BathroomSink1 ON
2025-10-18 02:47:58.421 I004 KitchenSink ON
2025-10-18 02:47:40.037 I001 Phone ON
2025-10-18 02:46:34.483 I003 DiningTable OFF
2025-10-18 02:54:54.155 I006 BathroomSink2 ON
2025-10-18 02:58:03.664 I001 Phone OFF
2025-10-18 02:47:34.393 I004 KitchenSink ON
2025-10-18 02:48:17.256 I001 Phone ON
2025-10-18 02:56:28.316 I004 KitchenSink OFF
2025-10-18 02:56:50.514 I004 KitchenSink ON
2025-10-18 02:57:14.631 I004 KitchenSink OFF
2025-10-18 03:00:15.962 I005 BathroomSink1 OFF
2025-10-18 02:55:45.874 I006 BathroomSink2 ON
2025-10-18 02:50:41.871 I006 BathroomSink2 ON
2025-10-18 03:13:03.158 I003 DiningTable OFF
2025-10-18 03:12:23.929 I005 BathroomSink1 ON
2025-10-18 03:01:25.179 I003 DiningTable OFF
2025-10-18 03:07:20.241 I006 BathroomSink2 ON
2025-10-18 03:19:35.608 I004 KitchenSink ON
2025-10-18 03:28:06.966 I006 BathroomSink2 ON
2025-10-18 03:11:04.192 I006 BathroomSink2 ON
