2025-10-17 23:06:06.759 I001 Phone OFF
2025-10-17 23:06:59.590 I002 Stove ON
2025-10-17 23:08:06.230 I003 DiningTable OFF
2025-10-17 23:09:16.834 I004 KitchenSink ON
2025-10-17 23:08:46.031 I002 Stove OFF
2025-10-17 23:13:08.087 I003 DiningTable OFF
2025-10-17 23:15:43.586 I004 KitchenSink OFF
2025-10-17 23:12:06.880 I006 BathroomSink2 OFF
2025-10-17 23:11:01.116 I003 DiningTable ON
2025-10-17 23:16:04.364 I005 BathroomSink1 ON
2025-10-17 23:15:05.032 I002 Stove ON
2025-10-17 23:24:57.588 I004 KitchenSink ON
2025-10-17 23:19:55.035 I006 BathroomSink2 ON
2025-10-17 23:22:34.576 I002 Stove OFF
2025-10-17 23:16:28.649 I002 Stove ON
