2025-10-18 04:45:35.952 I003 DiningTable OFF
2025-10-18 04:47:16.201 I002 Stove OFF
2025-10-18 04:47:09.680 I005 BathroomSink1 ON
2025-10-18 04:49:11.763 I004 KitchenSink ON
2025-10-18 04:47:40.463 I002 Stove OFF
2025-10-18 04:49:07.891 I001 Phone OFF
2025-10-18 04:53:13.147 I002 Stove OFF
2025-10-18 04:57:17.289 I005 BathroomSink1 ON
2025-10-18 05:01:34.192 I005 BathroomSink1 ON
2025-10-18 04:54:13.357 I005 BathroomSink1 ON
2025-10-18 05:02:11.350 I005 BathroomSink1 ON
2025-10-18 04:56:13.895 I001 Phone OFF
2025-10-18 05:06:35.131 I005 BathroomSink1 ON
2025-10-18 04:58:02.458 I005 BathroomSink1 OFF
2025-10-18 05:02:43.378 I002 Stove OFF
